"gene" "baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Sox9"	3083.912277083	0.0421709849631523	0.132968030363864	0.317151309587367	0.751128793452662	0.882812378529459
"Hnrnpd"	4599.84870388166	-0.13938732520889	0.1057979516759	-1.31748604770618	0.187675754806309	0.419727296693922
"Dynlt1c"	2484.63296993977	0.211331513075095	0.0723810395581218	2.91970817724159	0.00350359299787025	0.033443022025595
"C1d"	1344.63859602103	-0.135145561203166	0.135271259745594	-0.999070766823168	0.317760411248476	0.567010564448523
"Gm2a"	594.106473208421	-0.165998465144486	0.152388065317317	-1.08931407980558	0.276015405917193	0.524523905096123
"Krit1"	7963.59302615566	0.140719986217369	0.0685667543885182	2.05230636147674	0.0401398981647135	0.163628349209651
"Clcn4"	6845.68832862433	-0.084049175882958	0.0939646374017322	-0.894476669170956	0.371066907301439	0.617565862737297
"Vmn2r88"	426.851811449619	0.0233696141136838	0.141974331058867	0.164604502372997	0.869255287180097	0.944395747483218
"Grm6"	25.3882904258255	0.135053565049447	0.28754272990219	0.469681723809839	0.638582427201014	NA
"Sema4f"	53.7475619039411	-0.158657688902512	0.197178575460375	-0.804639593992786	0.421027686923045	0.660582032284997
"Hk2"	20117.0875167627	-0.306969097243404	0.136320591424696	-2.25181752833706	0.0243338055293097	0.118936660300224
