"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Mxd1"	30873.4076815139	-0.314748763036715	0.294326661339252	-1.06938583682681	0.284895846596643	0.483261963230603
"Gmcl1"	2624.32904737642	-0.0393109200630443	0.0823682264128091	-0.47725830426441	0.633178197985507	0.775145619316434
"Snrnp27"	1015.01551192871	-0.371070625220782	0.134604817425031	-2.75674104626642	0.00583805651935237	0.064192592161516
"Oas1c"	470.058711557243	0.270459745781659	0.278301412032672	0.971823117267934	0.331138553203462	0.529104483890352
"Oas1h"	195.976535487041	0.543947030086263	0.342803926679253	1.58675845797767	0.112567360794623	0.288444463321593
"Ocrl"	2014.28753561962	0.234387782394271	0.120127262078199	1.95116227856498	0.0510377446436409	0.189517011353662
"Calm1"	61977.2028119653	-0.352326118486684	0.169171492458246	-2.08265655972529	0.0372825397447722	0.160181305030862
"Agpat3"	3908.74367990461	-0.132449500210862	0.160689245822031	-0.824258646142096	0.40979261052342	0.598650235716832
"Slc26a3"	26110.3063057049	0.343516550009545	0.499019583225276	0.688382904312734	0.491211686613573	0.666702362293428
"Sema6b"	320.3054377372	-0.500074530581209	0.334126308237	-1.49666314280916	0.134480931175179	0.317395081962973
"Uhrf1"	7916.73216579239	-0.42416332922657	0.304219747188114	-1.39426626031705	0.163237215470301	0.352157466966235
"Dpp9"	3784.46308994909	-0.126906055793151	0.200164280708292	-0.634009501316054	0.526074621439362	0.695430445662586
"Ramp2"	75.2453525104462	-0.162705060739467	0.354752795962526	-0.458643490879361	0.646490199955387	0.784669923492221
"Lsr"	16203.3661681337	-0.345422333731012	0.242143984477046	-1.42651627079241	0.153719373695214	0.340537532625484
"Gramd1a"	864.179124886008	-0.212793352648413	0.264976037785033	-0.803066399615521	0.421936357163978	0.609206253861268
"Hpn"	884.506637954219	0.166945094938616	0.26419932690719	0.631890689855019	0.527458307398584	0.696246579035155
"Gabrg1"	56.3655917038009	-0.19009997948016	0.395933980643218	-0.480130498451613	0.631134603049951	0.773665309705057
"Ckb"	183.150676633505	0.713209351206968	0.443015980706699	1.60989531363915	0.107420712252694	0.280869958962316
"Sp1"	12567.9720158764	-0.0388626063676662	0.129380178103767	-0.300375273378409	0.763890922353491	0.865405498922976
"Itgb7"	197.437645480927	0.151094703112751	0.216913698031184	0.696565982158626	0.486074451020061	0.662595013262738
"Myg1"	1677.15187139306	-0.210130564313561	0.124491292090486	-1.68791375513098	0.0914277857925955	0.259080411381743
"Rarg"	782.107630979644	0.37572784092577	0.271532101260098	1.38373267537109	0.16644032447403	0.355875641359781
"Pfdn5"	3295.31985654947	-0.41740304364734	0.190802294011346	-2.18762067725726	0.0286972443923492	0.139705959862776
"Efnb2"	5483.55673790826	-0.00653246103732874	0.234436372395476	-0.0278645372754232	0.977770192608498	0.987920628149428
"Rrp15"	1393.15849150703	-0.473105974812308	0.246633396064579	-1.9182559311166	0.055078567342537	0.197964044979016
"Rnd2"	84.4819500557446	-0.119939954776821	0.204313754088257	-0.587038084205583	0.55717812922705	0.71737515250944
"Srr"	1589.61457983881	0.319548676411266	0.144959896907515	2.20439365112918	0.0274966717870315	0.137189319381366
"Sync"	163.924476949006	0.505665706443447	0.248180516668874	2.03749155344903	0.0416008075264288	0.170026635761832
"Fndc5"	390.176314094173	0.275274605773505	0.478793957215629	0.574933333274156	0.565336385226298	0.723407315972507
"Acp5"	10381.8978853952	-0.225038551929292	0.197293850960159	-1.14062628325267	0.254025474903239	0.450230161525114
"Cnn1"	184.388132669372	0.414176602114085	0.579238280596574	0.715036654151228	0.474586394414882	0.65315067682123
"Fbxo9"	2915.57596359577	-0.0756778872576296	0.0779048399842553	-0.97141444964041	0.331341935877001	0.529233515825746
"Vps50"	4474.5658220389	0.0803875025582666	0.072418750056729	1.11003714501141	0.266983020423717	0.464154137162767
"Hars"	4617.40785570181	-0.490377082082826	0.200645540502206	-2.44399691543324	0.0145255507284714	0.0998624381623265
"Zmat2"	3019.09359306682	-0.301733873250883	0.139018504420712	-2.17045834659352	0.0299721408353303	0.143132426129183
"Ube2c"	2877.51989961052	-0.574902068066885	0.37318065822656	-1.5405462619605	0.123427255297415	0.303322951613087
"Smg5"	9405.4194751492	-0.23660388311225	0.135362642123704	-1.74792601119609	0.0804768400960321	0.243065654157809
"Cct3"	14086.8080037623	-0.523919129795923	0.178222273655738	-2.93969501706588	0.00328535450603471	0.0490190793756934
"Glmp"	6810.78334422587	-0.326503859418098	0.180708454378449	-1.80679902631626	0.0707936205943565	0.22599208863301
"Mef2d"	5672.89131168333	-0.0158903262681267	0.148407340847052	-0.107072373761506	0.914731563693266	0.952930479997396
"Tmem79"	2556.16258756223	-0.446249753751365	0.214802148781291	-2.0774920375947	0.03775616938051	0.161253031176582
"Snd1"	19689.1432120053	-0.30608545996902	0.174197707339378	-1.75711531824408	0.0788981552479669	0.240596865226224
"Col18a1"	669.824139543001	0.311314313056551	0.319120662002725	0.975537939482881	0.329293491809427	0.527421032728166
"Slc19a1"	1309.44192028537	-0.253477552212363	0.258610593283269	-0.98015146631954	0.327011357554137	0.525281200842753
"Kpnb1"	29624.3621017002	-0.44817332683832	0.213851405264568	-2.0957230853071	0.0361067627669045	0.157133393823522
